iter	Passed	Remaining
1324	12438	1642
1325	12447	1633
1326	12457	1624
1327	12466	1614
1328	12475	1605
1329	12486	1595
1330	12495	1586
1331	12504	1577
1332	12513	1567
1333	12523	1558
1334	12533	1549
1335	12544	1539
1336	12556	1530
1337	12565	1521
1338	12576	1512
1339	12588	1503
1340	12597	1493
1341	12608	1484
1342	12618	1475
1343	12628	1465
1344	12638	1456
1345	12648	1447
1346	12658	1437
1347	12668	1428
1348	12678	1419
1349	12689	1409
1350	12698	1400
1351	12709	1391
1352	12718	1381
1353	12728	1372
1354	12738	1363
1355	12748	1353
1356	12758	1344
1357	12769	1335
1358	12779	1325
1359	12788	1316
1360	12799	1307
1361	12808	1297
1362	12820	1288
1363	12830	1279
1364	12840	1269
1365	12850	1260
1366	12860	1251
1367	12870	1241
1368	12880	1232
1369	12890	1223
1370	12901	1213
1371	12910	1204
1372	12921	1195
1373	12930	1185
1374	12940	1176
1375	12949	1167
1376	12960	1157
1377	12971	1148
1378	12980	1138
1379	12990	1129
1380	13000	1120
1381	13011	1110
1382	13021	1101
1383	13032	1092
1384	13042	1082
1385	13053	1073
1386	13062	1064
1387	13072	1054
1388	13081	1045
1389	13092	1036
1390	13102	1026
1391	13112	1017
1392	13122	1007
1393	13131	998
1394	13140	989
1395	13150	979
1396	13161	970
1397	13171	961
1398	13183	951
1399	13193	942
1400	13204	933
1401	13217	923
1402	13227	914
1403	13236	905
1404	13245	895
1405	13255	886
1406	13265	876
1407	13275	867
1408	13284	857
1409	13294	848
1410	13305	839
1411	13315	829
1412	13325	820
1413	13335	811
1414	13345	801
1415	13355	792
1416	13364	782
1417	13373	773
1418	13382	763
1419	13392	754
1420	13403	745
1421	13415	735
1422	13425	726
1423	13435	717
1424	13445	707
1425	13454	698
1426	13463	688
1427	13472	679
1428	13481	669
1429	13491	660
1430	13501	651
1431	13510	641
1432	13519	632
1433	13528	622
1434	13537	613
1435	13546	603
1436	13556	594
1437	13566	584
1438	13575	575
1439	13584	566
1440	13592	556
1441	13601	547
1442	13611	537
1443	13620	528
1444	13629	518
1445	13638	509
1446	13647	499
1447	13656	490
1448	13665	480
1449	13674	471
1450	13683	462
1451	13693	452
1452	13702	443
1453	13711	433
